year,no_of_hires,no_of_terminations,employees_net_change,net_change_percent
2000,220,31,189,85.91
2001,1122,203,919,81.91
2002,1067,174,893,83.69
2003,1142,196,946,82.84
2004,1135,198,937,82.56
2005,1097,175,922,84.05
2006,1118,181,937,83.81
2007,1090,146,944,86.61
2008,1108,143,965,87.09
2009,1140,151,989,86.75
2010,1099,125,974,88.63
2011,1101,112,989,89.83
2012,1103,107,996,90.30
2013,1105,95,1010,91.40
2014,1053,87,966,91.74
2015,1059,74,985,93.01
2016,1122,64,1058,94.30
2017,1091,56,1035,94.87
2018,1147,47,1100,95.90
2019,1083,48,1035,95.57
2020,1012,25,987,97.53
